FESTA EM LOUVOR A SÃO JOSÉ OPERÁRIO  - 2026,,,,
0,0,,Nº,1
A,M,I,G,O
16 - CARMEM COELHO E FAMÍLIA,39 - DROGARIA NOSSA SENHORA DA ABADIA,  54 - CIDA CORRETORA - VENDAS E ALUGUEL, 68 - PÉ MENOR CALÇADOS & MÓVEIS PARAISO, 81 - CASA LARD
7 - RESTAURANTE DO RUBÃO,31 - ELÉTRICA JOMANA,52 - SEPEL AUTO ELÉTRICA, 73 - ÓTICA CRISTAL & ÓTICA MARIANA             , 86 - CASA DE CARNES RESENDE
5- ANA CARRIJO STORS,29 - ROBERTO PETERNELLA E FAMÍLIA, 60 - SAPATARIA GAROTTI          ," 75 - VALNIR, EDNA & FAMÍLIA", 96 - ALB - ENERGIA SOLAR
15 - FAMÍLIA FLUMIAN ARCAS PLAZZA,34 - MEGA TEJOTÃO,42 - VET DOG CLÍNICA VETERINÁRIA, 80 - GL CELULARES, 100 - SICOOB ARACOOP
8 - DOCES VALE DA BENÇÃO,30 - TRANSPORTES LEMES,43 - ARACOR CORRETORA DE SEGUROS, 66 - BÁRBARA MENDES DOCERIA,89 - ESCOLINHA DE FUTEBOL BATE BOLA
0,0,0,0,0
FESTA EM LOUVOR A SÃO JOSÉ OPERÁRIO  - 2026,,,,
0,0,0,Nº,2
A,M,I,G,O
5- ANA CARRIJO STORS,31 - ELÉTRICA JOMANA,43 - ARACOR CORRETORA DE SEGUROS,77 - ARAGUARI MOTO PEÇAS, 97 - BRISATEC REFRIGERAÇÃO
7 - RESTAURANTE DO RUBÃO,"36 - VALDIR, LEDA E FAMÍLIA",42 - VET DOG CLÍNICA VETERINÁRIA, 64 - REAL SUPER SUPERMERCADO, 82 - JAIME BATAGLINI E FAMÍLIA
4- NUTRI_MAIS RAÇÕES,40 - Funcionalmente - CENTRO DE TREINAMENTO,49 - DRA. PRISCILLA CAFRUNE E FAMÍLIA, 72 - SERVIÇO SOCIAL DE LUTO FREDERICO OZANAN, 83 - ARROZ VASCONCELLOS
20 - VAL OLIVEIRA,27 - PEDRO MILTOM BATAGLINI,  53 - ATACADÃO DOS TECIDOS, 73 - ÓTICA CRISTAL & ÓTICA MARIANA             , 91 - IN COMPANNY CONTABILIDADE
10 - PAULO BOLSAS E CLEUDA,29 - ROBERTO PETERNELLA E FAMÍLIA,  57 - YOU HAPPY - ACADEMIAS, 80 - GL CELULARES, 96 - ALB - ENERGIA SOLAR
0,0,0,0,0
FESTA EM LOUVOR A SÃO JOSÉ OPERÁRIO  - 2026,,,,
0,0,0,Nº,3
A,M,I,G,O
19 - CHÁCARA SANTA BÁRBARA,22 - RONALDO PETERNELLA E FAMÍLIA,51 - CASA DAS EMBALAGENS, 69 - CONFERÊNCIA SÃO JOÃO PAULO II,89 - ESCOLINHA DE FUTEBOL BATE BOLA
5- ANA CARRIJO STORS,21 - PAPELARIA RESENDE,47 - CHICÃO Representações, 70 - HUGO SANCHES, 100 - SICOOB ARACOOP
15 - FAMÍLIA FLUMIAN ARCAS PLAZZA,34 - MEGA TEJOTÃO, 59 - FRANGO BROTÃO, 66 - BÁRBARA MENDES DOCERIA,95 - FAMÍLIA ALCEU LÁZARO
16 - CARMEM COELHO E FAMÍLIA,      23 - MARIAH CASCÃO               - Odontopediatra -,52 - SEPEL AUTO ELÉTRICA," 75 - VALNIR, EDNA & FAMÍLIA", 93 - MARMORARIA VITTURI 
10 - PAULO BOLSAS E CLEUDA,27 - PEDRO MILTOM BATAGLINI, 60 - SAPATARIA GAROTTI          , 78 - AUTO PEÇAS E ELÉTRICA MARINGA, 86 - CASA DE CARNES RESENDE
0,0,0,0,0
FESTA EM LOUVOR A SÃO JOSÉ OPERÁRIO  - 2026,,,,
0,0,0,Nº,4
A,M,I,G,O
16 - CARMEM COELHO E FAMÍLIA,34 - MEGA TEJOTÃO,49 - DRA. PRISCILLA CAFRUNE E FAMÍLIA, 62 - RETIFICADORA ARAGUARINA, 100 - SICOOB ARACOOP
19 - CHÁCARA SANTA BÁRBARA,40 - Funcionalmente - CENTRO DE TREINAMENTO,  55 - TERÇO DOS HOMENS N. SRA. ABADIA, 66 - BÁRBARA MENDES DOCERIA, 82 - JAIME BATAGLINI E FAMÍLIA
20 - VAL OLIVEIRA,"36 - VALDIR, LEDA E FAMÍLIA",52 - SEPEL AUTO ELÉTRICA, 80 - GL CELULARES, 93 - MARMORARIA VITTURI 
